Year,Month,New Clients,Food Stamps,BA Index,Bankrup.,Permits Issued,Dummy 2,Dummy 3,Dummy 4,Dummy 5,Dummy 6,Dummy 7,Dummy 8,Dummy 9,Dummy 10,Dummy 11,Dummy 12
1986,May,112.00,,105.00,162.00,191.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1986,Jun,122.00,,106.00,160.00,193.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1986,Jul,104.00,,105.00,150.00,161.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1986,Aug,108.00,,105.00,145.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1986,Sep,97.00,,103.00,134.00,168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1986,Oct,141.00,,105.00,155.00,203.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1986,Nov,97.00,,103.00,145.00,111.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1986,Dec,87.00,,101.00,152.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1987,Jan,145.00,,108.00,171.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1987,Feb,103.00,,105.00,206.00,76.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1987,Mar,113.00,,105.00,173.00,137.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1987,Apr,150.00,,108.00,195.00,145.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1987,May,100.00,,104.00,165.00,150.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1987,Jun,131.00,,108.00,177.00,168.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1987,Jul,96.00,,105.00,168.00,168.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1987,Aug,92.00,,105.00,165.00,170.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1987,Sep,88.00,,103.00,131.00,158.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1987,Oct,118.00,,105.00,169.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1987,Nov,102.00,,104.00,166.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1987,Dec,98.00,,104.00,157.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1988,Jan,101.00,,104.00,174.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1988,Feb,153.00,,109.00,162.00,32.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1988,Mar,138.00,,109.00,196.00,127.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1988,Apr,107.00,,103.00,178.00,149.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1988,May,100.00,,103.00,169.00,128.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1988,Jun,114.00,,104.00,170.00,178.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1988,Jul,78.00,,99.00,143.00,132.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1988,Aug,106.00,,102.00,177.00,164.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1988,Sep,94.00,,101.00,192.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1988,Oct,93.00,,101.00,195.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1988,Nov,103.00,,102.00,164.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1988,Dec,104.00,,102.00,146.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1989,Jan,150.00,24450.00,107.00,180.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1989,Feb,102.00,24761.00,106.00,149.00,48.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1989,Mar,151.00,25397.00,109.00,200.00,108.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1989,Apr,100.00,25617.00,105.00,165.00,161.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1989,May,100.00,25283.00,104.00,168.00,200.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1989,Jun,98.00,25242.00,103.00,177.00,204.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1989,Jul,97.00,25163.00,103.00,143.00,164.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1989,Aug,120.00,25184.00,106.00,180.00,175.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1989,Sep,98.00,25417.00,105.00,169.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1989,Oct,135.00,25411.00,106.00,170.00,171.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1989,Nov,141.00,25565.00,107.00,160.00,153.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1989,Dec,67.00,26543.00,99.00,161.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1990,Jan,127.00,26784.00,103.00,172.00,111.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1990,Feb,146.00,27044.00,106.00,146.00,92.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1990,Mar,175.00,27567.00,110.00,185.00,166.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1990,Apr,110.00,28080.00,108.00,143.00,189.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1990,May,153.00,28142.00,110.00,156.00,245.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1990,Jun,117.00,28412.00,105.00,173.00,261.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1990,Jul,121.00,28161.00,105.00,140.00,207.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1990,Aug,121.00,27936.00,106.00,160.00,238.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1990,Sep,131.00,28423.00,107.00,131.00,198.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1990,Oct,147.00,28366.00,107.00,169.00,247.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1990,Nov,121.00,29029.00,111.00,152.00,164.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1990,Dec,110.00,29035.00,112.00,135.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1991,Jan,171.00,29254.00,114.00,136.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1991,Feb,185.00,29962.00,116.00,167.00,118.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1991,Mar,172.00,30499.00,118.00,179.00,205.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1991,Apr,168.00,30879.00,119.00,181.00,253.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1991,May,142.00,30995.00,118.00,166.00,296.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1991,Jun,152.00,31356.00,120.00,151.00,300.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1991,Jul,151.00,30863.00,120.00,165.00,284.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1991,Aug,141.00,31288.00,121.00,129.00,282.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1991,Sep,128.00,31492.00,119.00,132.00,282.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1991,Oct,151.00,31577.00,121.00,162.00,261.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1991,Nov,121.00,31912.00,119.00,140.00,237.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1991,Dec,126.00,32050.00,120.00,140.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1992,Jan,166.00,32383.00,122.00,130.00,133.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1992,Feb,138.00,32625.00,118.00,165.00,210.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1992,Mar,175.00,33499.00,123.00,172.00,298.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1992,Apr,108.00,34076.00,118.00,145.00,334.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1992,May,112.00,34191.00,118.00,129.00,312.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1992,Jun,147.00,33788.00,120.00,166.00,333.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1992,Jul,168.00,33556.00,122.00,146.00,311.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1992,Aug,149.00,33751.00,120.00,143.00,327.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1992,Sep,145.00,33777.00,122.00,127.00,352.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1992,Oct,149.00,33769.00,123.00,186.00,387.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1992,Nov,169.00,34077.00,124.00,157.00,243.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1992,Dec,138.00,34232.00,122.00,94.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
